phase,context_length,decode_steps,op_type,provider,profile_count,call_count,total_us,mean_us
decode,128,4,Tanh,CPUExecutionProvider,3,312,2129.0,6.823717948717949
decode,128,4,Softmax,CPUExecutionProvider,3,312,2097.0,6.721153846153846
decode,128,4,IsNaN,CPUExecutionProvider,3,312,1615.0,5.176282051282051
decode,128,4,And,CPUExecutionProvider,3,72,409.0,5.680555555555555
decode,128,4,Range,CPUExecutionProvider,3,36,179.0,4.972222222222222
decode,128,4,Cast,CPUExecutionProvider,3,24,137.0,5.708333333333333
decode,128,4,Sin,CPUExecutionProvider,3,24,125.0,5.208333333333333
decode,128,4,Cos,CPUExecutionProvider,3,24,119.0,4.958333333333333
decode,128,4,Greater,CPUExecutionProvider,3,12,73.0,6.083333333333333
decode,128,4,Sub,CPUExecutionProvider,3,12,69.0,5.75
decode,128,4,LessOrEqual,CPUExecutionProvider,3,12,61.0,5.083333333333333
decode,128,4,Flatten,CPUExecutionProvider,3,12,57.0,4.75
decode,128,8,MatMul,CPUExecutionProvider,3,5064,2855042.0,563.7918641390205
decode,128,8,Unsqueeze,CPUExecutionProvider,3,11016,49724.0,4.513798111837327
decode,128,8,Mul,CPUExecutionProvider,3,8160,47833.0,5.861887254901961
decode,128,8,Concat,CPUExecutionProvider,3,6360,45483.0,7.151415094339622
decode,128,8,SimplifiedLayerNormalization,CPUExecutionProvider,3,3768,43612.0,11.574309978768577
decode,128,8,Gather,CPUExecutionProvider,3,8304,40460.0,4.872350674373796
decode,128,8,Reshape,CPUExecutionProvider,3,5088,30683.0,6.0304638364779874
decode,128,8,Add,CPUExecutionProvider,3,4440,24866.0,5.600450450450451
decode,128,8,Expand,CPUExecutionProvider,3,1344,24067.0,17.906994047619047
decode,128,8,Slice,CPUExecutionProvider,3,3120,22325.0,7.155448717948718
decode,128,8,Where,CPUExecutionProvider,3,2544,20961.0,8.23938679245283
decode,128,8,Transpose,CPUExecutionProvider,3,2544,19861.0,7.806996855345912
decode,128,8,Shape,CPUExecutionProvider,3,3888,17260.0,4.439300411522634
